"UHAWAII_ID"	"PSMSL_ID"	"Site"	"Basin"	"Lat"	"Lon"	"Region"	"GPD_Record_Start"	"GPD_Record_End"	"Annual_Trend"	"Trend_Start"	"Trend_End"	"Lambda"	"Q99"	"Shape50"	"Shape5"	"Shape95"	"Scale50"	"Scale5"	"Scale95"	"Vshape"	"Vscale"	"Vscaleshape"
"822a"	"82200000"	"Brest"	"atlantic"	48.38	-4.6	"France"	1846	2016	1.24383408682876	1846	2016	2.00587203996349	1.33782364983535	-0.315113559832015	-0.413282144238414	-0.216944975425615	0.185850687517304	0.159750124933724	0.211951250100883	0.00250870083845257	0.000177338714008724	-0.000583252005680124
"826a"	"82600000"	"Stockholm"	"atlantic"	59.4	18.22	"Sweden"	1889	2014	-3.79339308797268	1889	2014	1.16670469361147	0.509333280700268	-0.0498142139416572	-0.199161290595385	0.0995328627120707	0.108676439791859	0.0847806460374919	0.132572233546225	0.00580627057222605	0.000148643779825304	-0.000665845587560095
"838a"	"83800000"	"Hornbaek"	"atlantic"	56.1	12.47	"Denmark"	1891	2012	0.420461577960136	1891	2012	2.44265035906643	0.704551710180172	-0.166209485142846	-0.263033293424003	-0.0693856768616885	0.219420956468031	0.186944404220483	0.251897508715579	0.00244044002230702	0.000274564038069561	-0.000637511640952881
"837a"	"83700000"	"Gedser"	"atlantic"	54.57	11.93	"Denmark"	1891	2012	1.1932362856884	1891	2012	2.38527266606822	0.656191074470143	-0.0342706823010674	-0.113567055939527	0.0450256913373918	0.211126632238399	0.181666241527548	0.24058702294925	0.00163685598771405	0.000225933600058523	-0.000369585741465395
"275a"	"27500000"	"Halifax"	"atlantic"	44.67	-63.58	"Canada"	1899	2014	3.16492828361295	1899	2014	2.62937240370091	0.484169944254277	0.0677233992332131	-0.065598592413043	0.201045390879469	0.0973954378537113	0.0804434523589486	0.114347423348474	0.00462708421102185	7.48074691485868e-05	-0.000427440884659439
"775a"	"77500000"	"Galveston,Pier 21"	"atlantic"	29.4	-94.88	"USA"	1904	2016	6.44305065482934	1904	2016	2.08845762465475	0.40722671763652	0.235236044687429	0.0961185184869223	0.374353570887935	0.126974367098246	0.103314789066086	0.150633945130405	0.00503810843731797	0.000145719545305108	-0.000483299425012021
"266a"	"26600000"	"Cristobal"	"atlantic"	9.4	-80.05	"Panama"	1907	2014	1.47821065883667	1907	2014	1.49074074074074	0.206631648098279	-0.0566978007932884	-0.222400920284899	0.109005318698322	0.0317412628249467	0.0245787237817949	0.0389038018680984	0.00714768141241966	1.33548133506747e-05	-0.000236720258033918
"252a"	"25200000"	"Portland,ME"	"atlantic"	43.72	-70.37	"USA"	1910	2016	1.82959016373136	1910	2016	2.38316232536718	0.609390581682868	-0.038726840940672	-0.162247701409906	0.0847940195285619	0.108263488444861	0.0894232176201775	0.127103759269544	0.00397177314224158	9.24013041179168e-05	-0.000445697165323371
"264a"	"26400000"	"Atlantic City,NJ"	"atlantic"	39.4	-74.43	"USA"	1911	2016	4.08790027382042	1911	2016	2.55657075703179	0.528403153492942	0.047685708121692	-0.0739034991717364	0.16927491541512	0.118377027199049	0.0982475473823784	0.138506507015719	0.00384852110104696	0.000105479708778064	-0.000433668456565168
"242a"	"24200000"	"Key West,FL"	"atlantic"	24.58	-81.88	"USA"	1913	2016	2.44431013721777	1913	2016	1.53846153846154	0.263091685263188	0.178266190118484	0.00839011221221256	0.348142268024756	0.0456570817216091	0.0352478644134931	0.0560662990297252	0.00751221949571839	2.82059004209251e-05	-0.000282673058859759
