"UHAWAII_ID"	"PSMSL_ID"	"Site"	"Basin"	"Lat"	"Lon"	"Region"	"GPD_Record_Start"	"GPD_Record_End"	"Annual_Trend"	"Trend_Start"	"Trend_End"	"Lambda"	"Q99"	"Shape50"	"Shape5"	"Shape95"	"Scale50"	"Scale5"	"Scale95"	"Vshape"	"Vscale"	"Vscaleshape"
"551a"	"55100000"	"San Francisco,CA"	"pacific"	37.87	-122.6	"USA"	1897	2016	1.92021791767555	1897	2016	1.69170526363823	0.431656588622713	-0.00791036925042231	-0.15454736805143	0.138726629550586	0.0899949072330985	0.0719072393492382	0.108082575116959	0.00559745930414047	8.51665330145899e-05	-0.000507041730394103
"057b"	"05700000"	"Honolulu-B,Hawaii"	"pacific"	21.37	-157.87	"USA"	1905	2016	1.43456470223428	1905	2016	1.40178571428571	0.262183377481773	-0.163288616096105	-0.272414112199953	-0.0541631199922575	0.0446287807871004	0.0362058753426011	0.0530516862315997	0.003099961357326	1.84683318079033e-05	-0.000177196356879922
"569a"	"56900000"	"San Diego,CA"	"pacific"	32.83	-117.23	"USA"	1906	2016	2.1375071723021	1906	2016	1.96395185358755	0.536629382766692	-0.103323974893722	-0.224707930825634	0.018059981038189	0.0563648783451397	0.0462660970964368	0.0664636595938425	0.00383553890472731	2.65486075653741e-05	-0.000239941876670044
"302a"	"30200000"	"Balboa"	"pacific"	9.1	-79.63	"Panama"	1907	2016	1.39934550850456	1907	2016	1.84543157947135	0.983622881442238	-0.0750363461449483	-0.162420838197459	0.0123481459075621	0.109539749402554	0.091728253730931	0.127351245074177	0.0019877993771896	8.25856511466971e-05	-0.000255154183791899
"567a"	"56700000"	"Los Angeles,CA"	"pacific"	33.75	-118.32	"USA"	1923	2016	0.964906663012096	1923	2016	1.91486573076251	0.514038959770369	-0.208376980946028	-0.328375375992121	-0.088378585899935	0.0648815452650852	0.0527835246125473	0.0769795659176231	0.00374847564057352	3.81006566882285e-05	-0.000302685808375581
"540a"	"54000000"	"Prince Rupert"	"pacific"	54.32	-130.38	"Canada"	1924	2016	1.1837342037546	1924	2016	1.99995584209132	1.16375177887904	-0.227639964503415	-0.370448959781269	-0.0848309692255602	0.184434150386272	0.147561012843975	0.221307287928569	0.00530902713896205	0.000353935402063604	-0.00115347342490747
"554a"	"55400000"	"La Jolla,CA"	"pacific"	32.87	-117.32	"USA"	1924	2016	2.1709356153564	1924	2016	1.892431334452	0.51671438868087	-0.196704505827106	-0.343866098761151	-0.0495429128930607	0.0644317057828986	0.0511384014306248	0.0777250101351725	0.00563758078525294	4.60012585974442e-05	-0.000420860135960717
"572a"	"57200000"	"Astoria,OR"	"pacific"	46.28	-123.77	"USA"	1925	2016	-0.194968927010132	1925	2016	1.69565217391304	0.681276581238108	-0.253349325546937	-0.423292150413748	-0.0834065006801262	0.163490355889378	0.126238744827223	0.200741966951532	0.00751812399188834	0.000361238423083052	-0.00142740299570224
"060a"	"06000000"	"Hilo, Hawaii"	"pacific"	19.73	-155.07	"USA"	1927	2016	2.99884197828708	1927	2016	1.6444194323609	0.293899823965037	0.0518615201677504	-0.0747276536150557	0.178450693950556	0.0439553421635483	0.0349641637013196	0.052946520625777	0.00417154515172387	2.10444245046048e-05	-0.000167219842311462
"542a"	"54200000"	"Tofino"	"pacific"	49.18	-126.03	"Canada"	1930	2016	-1.24181652892321	1930	2016	1.71263020423577	0.734117404042871	-0.244252634835071	-0.385368730267036	-0.103136539403105	0.187661286501507	0.14823003328395	0.227092539719065	0.00518390364688731	0.000404748248746345	-0.00120531154124362
"556a"	"55600000"	"Crescent City,CA"	"pacific"	41.85	-124.18	"USA"	1933	2016	-0.817156331273779	1933	2016	1.57142857142857	0.600468231350226	-0.158561871808508	-0.274932494350005	-0.0421912492670111	0.14023724083109	0.111531175012724	0.168943306649455	0.00352525496765538	0.000214511791803991	-0.000636123022804459
"558a"	"55800000"	"Neah Bay,WA"	"pacific"	48.38	-124.62	"USA"	1934	2016	-1.66439903445263	1934	2016	1.67468498482649	0.755439955590931	-0.307294338581397	-0.468254431654351	-0.146334245508443	0.187043257876366	0.144832009878922	0.229254505873809	0.00674435228160862	0.000463831461085334	-0.00154803589463655
"571a"	"57100000"	"Ketchikan,AK"	"pacific"	55.33	-131.7	"USA"	1937	2016	-0.303787417456504	1937	2016	1.9625	1.13532066441076	-0.235247072566134	-0.391535143937566	-0.0789590011947022	0.184702306716425	0.144433681021043	0.224970932411807	0.006358511803229	0.00042212146246612	-0.00138606299932073
"559a"	"55900000"	"Sitka,AK"	"pacific"	57.07	-135.42	"USA"	1938	2016	-2.31993268400986	1938	2016	1.96200831744932	0.824113657992761	-0.157266016901305	-0.305618175212713	-0.00891385858989793	0.161095647580884	0.126481487932153	0.195709807229614	0.00572916798094849	0.000311897147441326	-0.0010606087114182
"071a"	"07100000"	"Wellington"	"pacific"	-41.28	174.78	"New Zealand"	1944	2016	2.69915169894522	1944	2016	2.28760688568857	0.327457270468668	-0.101617505459069	-0.242505551143647	0.039270540225509	0.0595516468025801	0.0472641121116974	0.0718391814934628	0.00516716235766732	3.93036905579439e-05	-0.000340294448174605
"081a"	"08100000"	"Valparaiso"	"pacific"	-33.12	-71.72	"Chile"	1944	2016	-1.20493882826201	1944	2016	1.80816831683168	0.397738659553516	-0.156201769220569	-0.290736041802835	-0.021667496638304	0.0581269520027572	0.0456046264947777	0.0706492775107368	0.0047116138279907	4.08200747286578e-05	-0.000331826407565139
"080a"	"08000000"	"Antofagasta"	"pacific"	-23.68	-70.45	"Chile"	1945	2016	-0.872264902788109	1945	2016	1.47222222222222	0.341412010511869	-0.0448854333844267	-0.247938244864765	0.158167378095911	0.0564450840909377	0.0407571613634981	0.0721330068183772	0.0107330173703696	6.40670461378638e-05	-0.00062807147721789
"050a"	"05000000"	"Midway"	"pacific"	28.22	-177.37	"USA Trust"	1947	2016	1.24060984216245	1947	2016	2.41423850125156	0.269661096748949	-0.00541861469335239	-0.161142733340452	0.150305503953748	0.107018613955292	0.0838274802258646	0.13020974768472	0.00631270625570164	0.00014000636444647	-0.000678876120821567
"053a"	"05300000"	"Apra Harbor, Guam"	"pacific"	13.43	144.65	"USA Trust"	1948	2016	1.8321759859583	1948	2016	1.10141649803595	0.187142754801496	0.0908002187826195	-0.113660215374521	0.29526065293976	0.0353199381118318	0.024634153599653	0.0460057226240107	0.0108823421223536	2.97246426346146e-05	-0.00033754014220919
"052a"	"05200000"	"Johnston"	"pacific"	16.78	-169.65	"USA Trust"	1947	2015	0.920631599664186	1947	2015	1.81161217363701	0.293310159665455	-0.0190839863530001	-0.15737280270606	0.11920483000006	0.0880882939040741	0.0684293777699006	0.107747210038248	0.00497826414936677	0.000100605785877105	-0.000451558423927257
"565a"	"56500000"	"Port San Luis, CA"	"pacific"	35.27	-120.85	"USA"	1948	2016	0.825713150454062	1948	2016	1.72458635876681	0.485724134291914	-0.129380771009376	-0.286422370250725	0.0276608282319732	0.0849868002488003	0.0648118598419309	0.10516174065567	0.00641997351616129	0.000105956679329231	-0.000625877770272004
"056a"	"05600000"	"Pago Pago"	"pacific"	-14.28	-170.68	"USA Trust"	1948	2016	3.20824852351503	1948	2016	1.15938578740626	0.277785423511799	-0.309882112356857	-0.465993303773708	-0.153770920940007	0.0651732018236248	0.048207067561868	0.0821393360853817	0.00634412738054158	7.49323955361176e-05	-0.000589407541803131
"055a"	"05500000"	"Kwajalein"	"pacific"	8.73	167.73	"Rep. of Marshall I"	1946	2014	2.45620878069876	1946	2014	2.01451273708436	0.423545674063716	-0.313815087768664	-0.441697403900717	-0.18593277163661	0.0444072930003197	0.0353764582692863	0.0534381277313531	0.00425720736382734	2.12304699193685e-05	-0.000260027098077137
"059a"	"05900000"	"Kahului"	"pacific"	20.9	-156.47	"USA"	1950	2016	1.94408916486283	1950	2016	1.94027868584505	0.259240180054805	-0.0166781772105551	-0.167536153883187	0.134179799462077	0.0376176450887051	0.0290332973605652	0.046201992816845	0.00592434546041762	1.9183083655783e-05	-0.000227130353120432
"051a"	"05100000"	"Wake"	"pacific"	19.28	166.62	"USA Trust"	1950	2016	1.98596892330576	1950	2016	1.43282118339327	0.316317700609726	0.374535380377308	0.133716451924425	0.61535430883019	0.0449328356042619	0.0312898558557102	0.0585758153528137	0.0150968054086066	4.84531801868337e-05	-0.000436828660455633
"091a"	"09100000"	"La Libertad"	"pacific"	-2.2	-80.92	"Ecuador"	1949	2015	5.61608153194665	1949	2015	1.53736054922153	0.531957737972883	-0.189919410086052	-0.365244476221523	-0.0145943439505816	0.0961981383802187	0.0713638879347591	0.121032388825678	0.00800187643553939	0.000160548381220542	-0.000913337617842503
"040a"	"04000000"	"Adak,Alaska"	"pacific"	51.98	-176.77	"USA"	1950	2016	-1.92074206774276	1950	2016	1.67162471395881	0.563820859771953	-0.0658237379505273	-0.290086492760338	0.158439016859284	0.085960750142398	0.0609916930121171	0.110929807272679	0.0130923655679843	0.00016229610756639	-0.00117217653729816
"303a"	"30300000"	"Tumaco"	"pacific"	1.82	-78.85	"Colombia"	1951	2014	-1.0932585604132	1951	2014	1.9375	0.694367827387555	-0.0629487664472117	-0.21484543686329	0.0889479039688665	0.0692091760429295	0.0531459560001185	0.0852723960857405	0.00600620742286693	6.71690235891015e-05	-0.000448470357359938
"058a"	"05800000"	"Nawiliwili"	"pacific"	21.97	-159.35	"USA"	1954	2016	1.50394097353378	1954	2016	1.38093737777585	0.262183618050201	0.152193103058271	-0.00522772045908526	0.309613926575627	0.0357083208522385	0.0264212731518403	0.0449953685526368	0.00645101687499145	2.24522138633488e-05	-0.000158031935966086
"085a"	"08500000"	"Buenaventura"	"pacific"	3.95	-77.17	"Colombia"	1953	2014	2.26912138901362	1953	2014	2.01617354824465	0.837633123124186	-0.0873756113971567	-0.22200299860321	0.0472517758088966	0.0831642335252891	0.0648346315993229	0.101493835451255	0.00471813814280421	8.74600828608322e-05	-0.000445279771810403
"076a"	"07600000"	"Taranaki"	"pacific"	-39.05	174.03	"New Zealand"	1955	2016	1.36321170300203	1955	2016	1.85479775677824	0.684584190212244	0.222639012696	0.0750857009242034	0.370192324467796	0.0943074077850398	0.0724947078217083	0.116120107748371	0.00566763326930337	0.000123857602514752	-0.000311272615358701
"061a"	"06100000"	"Mokuoloe"	"pacific"	21.43	-157.8	"USA"	1957	2016	1.17718257405162	1957	2016	1.53333333333333	0.261947639867093	-0.204365732112222	-0.342791582988468	-0.0659398812359759	0.0479247334322344	0.0362794967463168	0.059569970118152	0.0049881352593415	3.53020932413735e-05	-0.000324141695583863
"359a"	"35900000"	"Naze"	"pacific"	28.4	129.63	"Japan"	1957	2015	2.94394067034036	1957	2015	1.52547682027008	0.510319875432985	0.111564119879567	-0.125479885420732	0.348608125179866	0.0688127818647238	0.0472456764910197	0.0903798872384279	0.0146272192600662	0.000121084217197572	-0.000911175647575745
"570a"	"57000000"	"Yakutat,AK"	"pacific"	59.68	-139.75	"USA"	1961	2016	-10.3749194479714	1961	2016	1.83928571428571	0.897906287292167	-0.379782847523921	-0.565691104833899	-0.193874590213944	0.20773507387525	0.154175483224431	0.261294664526069	0.00899707162025171	0.00074675530432082	-0.00234434456142282
